[09-Jun-2018 01:08:23 America/Sao_Paulo] PHP Warning:  Use of undefined constant HOSPEDAGEM_FILE - assumed 'HOSPEDAGEM_FILE' (this will throw an Error in a future version of PHP) in C:\xampp\htdocs\pacotes\server\handlers.php on line 181
[09-Jun-2018 01:08:23 America/Sao_Paulo] PHP Warning:  Use of undefined constant COMPRA_HOSPEDAGEM_FILE - assumed 'COMPRA_HOSPEDAGEM_FILE' (this will throw an Error in a future version of PHP) in C:\xampp\htdocs\pacotes\server\handlers.php on line 182
[09-Jun-2018 01:09:30 America/Sao_Paulo] PHP Notice:  Undefined variable: hospedagensFile in C:\xampp\htdocs\pacotes\server\handlers.php on line 225
[09-Jun-2018 01:11:58 America/Sao_Paulo] PHP Notice:  Undefined variable: hospedagensFile in C:\xampp\htdocs\pacotes\server\handlers.php on line 225
[10-Jun-2018 11:39:06 America/Sao_Paulo] PHP Notice:  Undefined index: n_pessoas in C:\xampp\htdocs\pacotes\server\handlers.php on line 204
[10-Jun-2018 11:39:06 America/Sao_Paulo] PHP Notice:  Undefined index: n_pessoas in C:\xampp\htdocs\pacotes\server\handlers.php on line 221
[10-Jun-2018 12:11:34 America/Sao_Paulo] PHP Notice:  Undefined index: n_pessoas in C:\xampp\htdocs\pacotes\server\handlers.php on line 208
[10-Jun-2018 12:43:05 America/Sao_Paulo] PHP Notice:  Undefined index: compra in C:\xampp\htdocs\pacotes\server\handlers.php on line 32
[10-Jun-2018 12:43:05 America/Sao_Paulo] PHP Notice:  Undefined index: compra in C:\xampp\htdocs\pacotes\server\handlers.php on line 32
[10-Jun-2018 12:55:37 America/Sao_Paulo] PHP Notice:  Undefined index: aaaa in C:\xampp\htdocs\pacotes\server\handlers.php on line 203
[10-Jun-2018 12:57:07 America/Sao_Paulo] PHP Notice:  Undefined index: asdas in C:\xampp\htdocs\pacotes\server\handlers.php on line 203
[10-Jun-2018 12:58:19 America/Sao_Paulo] PHP Notice:  Undefined index: aaa in C:\xampp\htdocs\pacotes\server\handlers.php on line 203
[12-Jun-2018 20:49:51 America/Sao_Paulo] PHP Notice:  Undefined offset: 4 in C:\xampp\htdocs\pacotes\server\handlers.php on line 129
[12-Jun-2018 21:04:53 America/Sao_Paulo] PHP Notice:  Undefined index: cidades in C:\xampp\htdocs\pacotes\server\handlers.php on line 240
[12-Jun-2018 21:04:53 America/Sao_Paulo] PHP Notice:  Undefined index: cidades in C:\xampp\htdocs\pacotes\server\handlers.php on line 240
